ENTITY_ID,Operator,12 Month Cum BOE (20:1),Lat,Long,Bakken, Lateral Length ,Slickwater,"Proppant, mmlbs","Fluid, mbbl"
128243611,Whiting,"71,000",48.1,-102.4,0," 9,686 ",0, 1.7 , 27.8 
128731764,Hess,"77,000",48.0,-102.8,1," 10,851 ",0, 1.9 , 28.4 
128275713,Hess,"115,000",48.3,-102.7,1," 11,362 ",0, 2.0 , 38.3 
126842473,Hess,"134,000",48.1,-102.7,1," 9,530 ",0, 1.7 , 37.0 
128914593,Lime Rock,"42,000",48.3,-102.4,1," 8,791 ",0, 1.5 , 38.0 
128771362,Oasis,"51,000",48.0,-103.5,0," 11,982 ",0, 2.1 , 110.7 
128829933,Oasis,"55,000",48.0,-103.5,0," 11,929 ",0, 2.1 , 99.5 
128593485,Hess,"98,000",47.9,-103.2,1," 9,114 ",0, 1.6 , 37.0 
128335242,Hess,"104,000",47.6,-103.0,1," 10,269 ",0, 1.8 , 40.0 
128335427,Hess,"84,000",48.2,-102.7,0," 10,452 ",0, 1.8 , 51.5 
128213117,Whiting,"80,000",48.0,-102.4,0," 8,132 ",0, 1.4 , 28.9 
128226102,Hess,"122,000",48.2,-102.8,1," 8,927 ",0, 1.6 , 36.5 
128545340,Oasis,"116,000",47.9,-103.6,1," 9,247 ",1, 1.6 , 220.4 
128275466,Whiting,"69,000",48.1,-102.6,0," 9,809 ",0, 1.7 , 27.7 
128275268,Hess,"50,000",48.2,-102.6,0," 8,126 ",0, 1.4 , 30.5 
129026888,Kaiser-Francis,"112,000",48.1,-102.5,0," 11,183 ",0, 2.0 , 47.9 
128611249,Hess,"100,000",48.2,-102.9,0," 8,657 ",0, 1.5 , 36.8 
128176219,Whiting,"48,000",48.1,-102.5,0," 9,644 ",0, 1.7 , 25.8 
128771320,Oasis,"104,000",48.0,-103.5,0," 12,158 ",0, 2.2 , 115.6 
128335645,Hess,"78,000",48.2,-102.8,1," 10,162 ",0, 1.8 , 30.2 
128335339,Hess,"77,000",48.2,-102.7,1," 10,876 ",0, 2.0 , 38.3 
128213032,EOG,"97,000",47.8,-102.2,1," 5,364 ",0, 1.0 , 57.3 
128593448,Hess,"160,000",48.0,-102.8,0," 10,255 ",0, 1.9 , 39.8 
128213491,Whiting,"87,000",48.0,-102.5,0," 8,777 ",0, 1.6 , 25.5 
128212850,Whiting,"70,000",48.1,-102.5,0," 9,890 ",0, 1.8 , 26.1 
128176165,Whiting,"39,000",48.1,-102.5,0," 9,867 ",0, 1.8 , 27.0 
128199762,Hess,"120,000",47.9,-103.2,1," 10,092 ",0, 1.8 , 52.8 
128275695,XTO,"26,000",47.8,-103.2,0," 9,437 ",0, 1.7 , 41.0 
128261822,Whiting,"59,000",48.1,-102.6,0," 10,058 ",0, 1.9 , 26.1 
128953087,Hess,"60,000",48.2,-102.7,0," 9,483 ",0, 1.7 , 36.8 
128593587,Hess,"120,000",48.0,-102.8,0," 10,160 ",0, 1.9 , 38.8 
128953063,Hess,"54,000",48.2,-102.7,0," 9,793 ",0, 1.8 , 46.1 
128479571,Kaiser-Francis,"98,000",48.1,-102.3,1," 8,696 ",0, 1.6 , 26.1 
